ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: woostify_product_video_metabox","Meta: ocean_both_sidebars_content_width","Meta: ocean_both_sidebars_sidebars_width","Meta: ocean_sidebar","Meta: ocean_second_sidebar","Meta: ocean_center_header_left_menu","Meta: ocean_custom_header_template","Meta: ocean_custom_logo","Meta: ocean_custom_retina_logo","Meta: ocean_custom_logo_max_width","Meta: ocean_custom_logo_tablet_max_width","Meta: ocean_custom_logo_mobile_max_width","Meta: ocean_custom_logo_max_height","Meta: ocean_custom_logo_tablet_max_height","Meta: ocean_custom_logo_mobile_max_height","Meta: ocean_header_custom_menu","Meta: ocean_menu_typo_font_family","Meta: ocean_menu_typo_font_size","Meta: ocean_menu_typo_line_height","Meta: ocean_menu_typo_spacing","Meta: ocean_post_title_background","Meta: ocean_post_title_height","Meta: ocean_post_title_bg_overlay","Meta: ocean_custom_footer_template","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Meta: _oembed_6583ae98bdf8a17936daedf8a4e34281","Meta: _oembed_5e05b1d7d74faf2d88c8af68507fc0cf","Meta: _oembed_f194cedf8dea3755c716b191bbdfd1c9","Meta: _wp_desired_post_slug"
2210,simple,S23-GN14,,"MAGNETIC MINT READY-TO-WEAR SAREE",1,0,visible,"This classic silk saree is a timeless expression of grace and tradition. Woven with a smooth, lustrous texture, it drapes beautifully and enhances your natural elegance. Ideal for weddings, festive occasions, and formal gatherings, this saree pairs perfectly with traditional jewelry and showcases rich craftsmanship that never goes out of style.","<table>
\n<tbody>
\n<tr>
\n<td>Pattern:</td>
\n<td>Satin</td>
\n</tr>
\n<tr>
\n<td>Colour:</td>
\n<td>Icy Powder Mint</td>
\n</tr>
\n<tr>
\n<td>Saree Material</td>
\n<td>Satin</td>
\n</tr>
\n<tr>
\n<td>Length:</td>
\n<td>5.5 Meter</td>
\n</tr>
\n<tr>
\n<td>Care Information:</td>
\n<td>Dry Clean</td>
\n</tr>
\n</tbody>
\n</table>
\n<ul>
\n 	<li>Description:</li>
\n 	<li>Icy Powder Mint Ready-to-Wear Satin Saree with Embellished Embroidered Border</li>
\n 	<li>Fabric Details:Satin</li>
\n 	<li>Color:Icy Powder Mint</li>
\n 	<li>Product Code:S23-GN14</li>
\n 	<li>Content: Saree</li>
\n</ul>",,,taxable,,1,,,0,0,0,,,,1,,7500.00,15000.00,"Women > Saree, Women","ARRIVALS\,, BEST, GLAM\,, NEW, READY, SAREE, SELLER\,, SHIP\,, TO",,https://luxeria.in/wp-content/uploads/2025/12/1-740991_8547aebf-f61f-4513-979c-77999e8ea24a.jpg,,,,,,,,,0,Luxeria,Color,"Icy Powder Mint",1,0,,,,,,,,,,,,,,,,,,,,,,,,
2219,simple,S23-Y8,,"SASSY SAFFRON READY-TO-WEAR SAREE",1,0,visible,"Crafted with intricate zari work, this Banarasi silk saree reflects royal charm and heritage. The rich fabric and detailed patterns make it a perfect choice for bridal wear and grand celebrations. Its luxurious finish and traditional motifs create a striking look that speaks of timeless Indian artistry","<table>
\n<tbody>
\n<tr>
\n<td>Pattern:</td>
\n<td>Satin</td>
\n</tr>
\n<tr>
\n<td>Colour:</td>
\n<td>Golden/Honey Yellow</td>
\n</tr>
\n<tr>
\n<td>Saree Material</td>
\n<td>Satin</td>
\n</tr>
\n<tr>
\n<td>Length:</td>
\n<td>5.5 Meter</td>
\n</tr>
\n<tr>
\n<td>Care Information:</td>
\n<td>Dry Clean</td>
\n</tr>
\n</tbody>
\n</table>
\n<ul>
\n 	<li>Description:</li>
\n 	<li>Ready-to-wear Golden/Honey Yellow Satin Saree With Embellished Embroidered Border</li>
\n 	<li>Fabric Details:Satin</li>
\n 	<li>Color:Golden/Honey Yellow</li>
